canonical_player_id,canonical_handle,observed_handle,platform,platform_id,valid_from,valid_to,evidence_group_id,resolution_method,review_status
steam:76561199009010912,radosin,radosin75,steam,76561199009010912,2025-01-01,2025-12-31,rlcs2025-alias-review-radosin,reviewed_official_series_roster,frozen
steam:76561199009010912,radosin,radosinho,steam,76561199009010912,2025-01-01,2025-12-31,rlcs2025-alias-review-radosin,reviewed_official_series_roster,frozen
steam:76561199022824414,ajg,ajg,steam,76561199022824414,2025-01-01,2025-12-31,rlcs2025-alias-review-ajg,reviewed_official_series_roster,frozen
steam:76561199022824414,ajg,ajg.,steam,76561199022824414,2025-01-01,2025-12-31,rlcs2025-alias-review-ajg,reviewed_official_series_roster,frozen
steam:76561199038935432,mech,mech,steam,76561199038935432,2025-01-01,2025-12-31,rlcs2025-alias-review-mech,reviewed_official_series_roster,frozen
steam:76561199038935432,mech,mech (streamin),steam,76561199038935432,2025-01-01,2025-12-31,rlcs2025-alias-review-mech,reviewed_official_series_roster,frozen
steam:76561199048494276,scrzbbles,scrib,steam,76561199048494276,2025-01-01,2025-12-31,rlcs2025-alias-review-scrzbbles,reviewed_official_series_roster,frozen
steam:76561199048494276,scrzbbles,scrib buyssgbundle,steam,76561199048494276,2025-01-01,2025-12-31,rlcs2025-alias-review-scrzbbles,reviewed_official_series_roster,frozen
steam:76561199048494276,scrzbbles,scribkep,steam,76561199048494276,2025-01-01,2025-12-31,rlcs2025-alias-review-scrzbbles,reviewed_official_series_roster,frozen
steam:76561199048494276,scrzbbles,scrzbbles,steam,76561199048494276,2025-01-01,2025-12-31,rlcs2025-alias-review-scrzbbles,reviewed_official_series_roster,frozen
steam:76561199076031564,cheese,chee$e.,steam,76561199076031564,2025-01-01,2025-12-31,rlcs2025-alias-review-cheese,reviewed_official_series_roster,frozen
steam:76561199076031564,cheese,cheese.,steam,76561199076031564,2025-01-01,2025-12-31,rlcs2025-alias-review-cheese,reviewed_official_series_roster,frozen
